"RFXT029.Code.or.Value","RFXT029.Value.Description","RFXT029.Count","RFXT029.Cumulative","RFXT029.Skip.to.Item"
"239 to 248","Range of Values",33708,33708,NA
".","Missing",13,33721,NA
