"SSDONAL.Code.or.Value","SSDONAL.Value.Description","SSDONAL.Count","SSDONAL.Cumulative","SSDONAL.Skip.to.Item"
"0","At or above the detection limit",0,0,NA
"1","Below lower detection limit",1672,1672,NA
".","Missing",0,1672,NA
