"AUDTYR50.Code.or.Value","AUDTYR50.Value.Description","AUDTYR50.Count","AUDTYR50.Cumulative","AUDTYR50.Skip.to.Item"
"0 to 3.31","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
