"ARQ021CE.Code.or.Value","ARQ021CE.Value.Description","ARQ021CE.Count","ARQ021CE.Cumulative","ARQ021CE.Skip.to.Item"
"3","stiffness?",181,181,NA
".","Missing",4925,5106,NA
