"OHD15LAS.Code.or.Value","OHD15LAS.Value.Description","OHD15LAS.Count","OHD15LAS.Cumulative","OHD15LAS.Skip.to.Item"
"0 to 10","Range of Values",2006,2006,NA
"99","Calculation cannot be determined",551,2557,NA
".","Missing",4161,6718,NA
