"DXAFMRD0.Code.or.Value","DXAFMRD0.Value.Description","DXAFMRD0.Count","DXAFMRD0.Cumulative","DXAFMRD0.Skip.to.Item"
"36.875 to 54.9098","Range of Values",2286,2286,NA
".","Missing",612,2898,NA
