"CSXNGSOD.Code.or.Value","CSXNGSOD.Value.Description","CSXNGSOD.Count","CSXNGSOD.Cumulative","CSXNGSOD.Skip.to.Item"
"1","Orange",111,111,NA
"2","Cinnamon",184,295,NA
"3","Cola",175,470,NA
"4","Natural Gas",3049,3519,NA
".","Missing",189,3708,NA
