"CIQP62.Code.or.Value","CIQP62.Value.Description","CIQP62.Count","CIQP62.Cumulative","CIQP62.Skip.to.Item"
"0 to 14","Range of Values",9,9,NA
"77","Refused",0,9,NA
"99","Don't know",0,9,NA
".","Missing",841,850,NA
