"LB2WBCSI.Code.or.Value","LB2WBCSI.Value.Description","LB2WBCSI.Count","LB2WBCSI.Cumulative","LB2WBCSI.Skip.to.Item"
"2.6 to 15.9","Range of Values",551,551,NA
".","Missing",6,557,NA
