"LBXSAL.Code.or.Value","LBXSAL.Value.Description","LBXSAL.Count","LBXSAL.Cumulative","LBXSAL.Skip.to.Item"
"2.1 to 5.4","Range of Values",5905,5905,NA
".","Missing",496,6401,NA
