"WTMREP15.Code.or.Value","WTMREP15.Value.Description","WTMREP15.Count","WTMREP15.Cumulative","WTMREP15.Skip.to.Item"
"0 to 264048.81824","Range of Values",9965,9965,NA
".","Missing",0,9965,NA
