"DXXPT60Y.Code.or.Value","DXXPT60Y.Value.Description","DXXPT60Y.Count","DXXPT60Y.Cumulative","DXXPT60Y.Skip.to.Item"
"99.5 to 314.1","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
