"OHAPOS.Code.or.Value","OHAPOS.Value.Description","OHAPOS.Count","OHAPOS.Cumulative","OHAPOS.Skip.to.Item"
"1","Yes",7765,7765,NA
"2","No",335,8100,NA
".","Missing",266,8366,NA
