"LBXPCB.Code.or.Value","LBXPCB.Value.Description","LBXPCB.Count","LBXPCB.Cumulative","LBXPCB.Skip.to.Item"
"11.67 to 3367.7","Range of Values",1860,1860,NA
".","Missing",425,2285,NA
