"OSQ010c.Code.or.Value","OSQ010c.Value.Description","OSQ010c.Count","OSQ010c.Cumulative","OSQ010c.Skip.to.Item"
"1","Yes",116,116,"OSQ020c"
"2","No",2948,3064,"OSQ025"
"7","Refused",0,3064,"OSQ025"
"9","Don't know",4,3068,"OSQ025"
".","Missing",1,3069,""
