"OSQ120i.Code.or.Value","OSQ120i.Value.Description","OSQ120i.Count","OSQ120i.Cumulative","OSQ120i.Skip.to.Item"
"1","Yes",8,8,""
"2","No",0,8,"OSQ060"
"7","Refused",0,8,"OSQ060"
"9","Don't know",0,8,"OSQ060"
".","Missing",3061,3069,""
