"RFXC107.Code.or.Value","RFXC107.Value.Description","RFXC107.Count","RFXC107.Cumulative","RFXC107.Skip.to.Item"
"-7.379 to 5.253","Range of Values",33691,33691,NA
".","Missing",30,33721,NA
