"DXXL3TBS.Code.or.Value","DXXL3TBS.Value.Description","DXXL3TBS.Count","DXXL3TBS.Cumulative","DXXL3TBS.Skip.to.Item"
"0.7 to 1.779","Range of Values",4474,4474,NA
".","Missing",3260,7734,NA
