"WTMEC4YR.Code.or.Value","WTMEC4YR.Value.Description","WTMEC4YR.Count","WTMEC4YR.Cumulative","WTMEC4YR.Skip.to.Item"
"0 to 103831.17105","Range of Values",11039,11039,NA
".","Missing",0,11039,NA
