"WHQ510H.Code.or.Value","WHQ510H.Value.Description","WHQ510H.Count","WHQ510H.Cumulative","WHQ510H.Skip.to.Item"
"17","My friends are trying to lose weight",12,12,NA
".","Missing",1448,1460,NA
