"WBXP055.Code.or.Value","WBXP055.Value.Description","WBXP055.Count","WBXP055.Cumulative","WBXP055.Skip.to.Item"
"-171.3504 to 164.1955","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
