"DXXPT31X.Code.or.Value","DXXPT31X.Value.Description","DXXPT31X.Count","DXXPT31X.Cumulative","DXXPT31X.Skip.to.Item"
"723.4 to 1259.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
