"BIXC007K.Code.or.Value","BIXC007K.Value.Description","BIXC007K.Count","BIXC007K.Cumulative","BIXC007K.Skip.to.Item"
"14.9 to 783.31","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
