"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"2716.758186 to 691139.54688","Range of Values",5264,5264,NA
".","Missing",0,5264,NA
