"DXXPT76X.Code.or.Value","DXXPT76X.Value.Description","DXXPT76X.Count","DXXPT76X.Cumulative","DXXPT76X.Skip.to.Item"
"656.9 to 1191.8","Range of Values",3241,3241,NA
".","Missing",467,3708,NA
