"URDMU5LC.Code.or.Value","URDMU5LC.Value.Description","URDMU5LC.Count","URDMU5LC.Cumulative","URDMU5LC.Skip.to.Item"
"0","At or above detection limit",2573,2573,NA
"1","Below lower detection limit",48,2621,NA
".","Missing",138,2759,NA
