"PUD061.Code.or.Value","PUD061.Value.Description","PUD061.Count","PUD061.Cumulative","PUD061.Skip.to.Item"
"1","Yes",1283,1283,""
"2","No",5473,6756,"End of Section"
".","Missing",3366,10122,""
