"WTSAU21.Code.or.Value","WTSAU21.Value.Description","WTSAU21.Count","WTSAU21.Cumulative","WTSAU21.Skip.to.Item"
"0 to 477207.2936","Range of Values",1719,1719,NA
".","Missing",88,1807,NA
