"DX2STLE.Code.or.Value","DX2STLE.Value.Description","DX2STLE.Count","DX2STLE.Cumulative","DX2STLE.Skip.to.Item"
"23835.6 to 81206.3","Range of Values",414,414,NA
".","Missing",71,485,NA
