"LB2SGL.Code.or.Value","LB2SGL.Value.Description","LB2SGL.Count","LB2SGL.Cumulative","LB2SGL.Skip.to.Item"
"59 to 303","Range of Values",544,544,NA
".","Missing",2,546,NA
