"LBX052LA.Code.or.Value","LBX052LA.Value.Description","LBX052LA.Count","LBX052LA.Cumulative","LBX052LA.Skip.to.Item"
"0.38 to 133","Range of Values",1897,1897,NA
".","Missing",388,2285,NA
