"OHAROCDT.Code.or.Value","OHAROCDT.Value.Description","OHAROCDT.Count","OHAROCDT.Cumulative","OHAROCDT.Skip.to.Item"
"1","Yes",1892,1892,NA
"2","No",9,1901,NA
".","Missing",6465,8366,NA
