"RFXT126.Code.or.Value","RFXT126.Value.Description","RFXT126.Count","RFXT126.Cumulative","RFXT126.Skip.to.Item"
"1097 to 1105","Range of Values",33681,33681,NA
".","Missing",40,33721,NA
