"WTSHM47.Code.or.Value","WTSHM47.Value.Description","WTSHM47.Count","WTSHM47.Cumulative","WTSHM47.Skip.to.Item"
"0.0000000 to 776574.3824600","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
