"DIQ070.Code.or.Value","DIQ070.Value.Description","DIQ070.Count","DIQ070.Cumulative","DIQ070.Skip.to.Item"
"1","Yes",717,717,NA
"2","No",955,1672,NA
"7","Refused",0,1672,NA
"9","Don't know",2,1674,NA
".","Missing",7223,8897,NA
