"WTSSUG2Y.Code.or.Value","WTSSUG2Y.Value.Description","WTSSUG2Y.Count","WTSSUG2Y.Cumulative","WTSSUG2Y.Skip.to.Item"
"3444.330495 to 232685.69973","Range of Values",6540,6540,NA
"0","No lab specimen",15,6555,NA
".","Missing",4,6559,NA
