"LEXRPTS1.Code.or.Value","LEXRPTS1.Value.Description","LEXRPTS1.Count","LEXRPTS1.Cumulative","LEXRPTS1.Skip.to.Item"
"61 to 248","Range of Values",2347,2347,NA
".","Missing",739,3086,NA
