"FSQ410.Code.or.Value","FSQ410.Value.Description","FSQ410.Count","FSQ410.Cumulative","FSQ410.Skip.to.Item"
"1 to 30","Range of Values",213,213,NA
"77","Refused",5,218,NA
"99","Don't know",0,218,NA
".","Missing",9904,10122,NA
