"LBXSF6SI.Code.or.Value","LBXSF6SI.Value.Description","LBXSF6SI.Count","LBXSF6SI.Cumulative","LBXSF6SI.Skip.to.Item"
"0.113 to 48.5","Range of Values",4571,4571,NA
".","Missing",521,5092,NA
