"LBDP3.Code.or.Value","LBDP3.Value.Description","LBDP3.Count","LBDP3.Cumulative","LBDP3.Skip.to.Item"
"4 to 84","Range of Values",1746,1746,NA
".","Missing",230,1976,NA
