"AUXLR129.Code.or.Value","AUXLR129.Value.Description","AUXLR129.Count","AUXLR129.Cumulative","AUXLR129.Skip.to.Item"
"-45 to 73","Range of Values",3831,3831,NA
".","Missing",669,4500,NA
