"LBDOD9LC.Code.or.Value","LBDOD9LC.Value.Description","LBDOD9LC.Count","LBDOD9LC.Cumulative","LBDOD9LC.Skip.to.Item"
"0","At or above the detection limit",4485,4485,NA
"1","Below lower detection limit",0,4485,NA
".","Missing",938,5423,NA
