"WBXP107.Code.or.Value","WBXP107.Value.Description","WBXP107.Count","WBXP107.Cumulative","WBXP107.Skip.to.Item"
"-173.7476 to 167.101","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
