"DRD370NQ.Code.or.Value","DRD370NQ.Value.Description","DRD370NQ.Count","DRD370NQ.Cumulative","DRD370NQ.Skip.to.Item"
"1 to 24","Range of Values",213,213,NA
".","Missing",8491,8704,NA
