"HSQ496.Code.or.Value","HSQ496.Value.Description","HSQ496.Count","HSQ496.Cumulative","HSQ496.Skip.to.Item"
"0 to 30","Range of Values",5883,5883,NA
"77","Refused",1,5884,NA
"99","Don't know",5,5889,NA
".","Missing",3067,8956,NA
