"LBXMR1.Code.or.Value","LBXMR1.Value.Description","LBXMR1.Count","LBXMR1.Cumulative","LBXMR1.Skip.to.Item"
"15 to 1880","Range of Values",4417,4417,NA
".","Missing",1226,5643,NA
