"SSCA125I.Code.or.Value","SSCA125I.Value.Description","SSCA125I.Count","SSCA125I.Cumulative","SSCA125I.Skip.to.Item"
"0.101 to 117.631","Range of Values",2388,2388,NA
".","Missing",0,2388,NA
