"OPDUEXU.Code.or.Value","OPDUEXU.Value.Description","OPDUEXU.Count","OPDUEXU.Cumulative","OPDUEXU.Skip.to.Item"
"0","No",3206,3206,NA
"1","Yes",15,3221,NA
".","Missing",642,3863,NA
