"WBXP019.Code.or.Value","WBXP019.Value.Description","WBXP019.Count","WBXP019.Cumulative","WBXP019.Skip.to.Item"
"-10.4588 to 160.568","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
