"RFXC035.Code.or.Value","RFXC035.Value.Description","RFXC035.Count","RFXC035.Cumulative","RFXC035.Skip.to.Item"
"-8.214 to 5.335","Range of Values",33704,33704,NA
".","Missing",17,33721,NA
