"FSD660C.Code.or.Value","FSD660C.Value.Description","FSD660C.Count","FSD660C.Cumulative","FSD660C.Skip.to.Item"
"1","Yes",722,722,NA
"2","No",125,847,NA
"7","Refused",0,847,NA
"9","Don't know",1,848,NA
".","Missing",9274,10122,NA
