"DXXFRAX3.Code.or.Value","DXXFRAX3.Value.Description","DXXFRAX3.Count","DXXFRAX3.Cumulative","DXXFRAX3.Skip.to.Item"
"0 to 29.03","Range of Values",2258,2258,NA
".","Missing",1450,3708,NA
