"CIQGPO.Code.or.Value","CIQGPO.Value.Description","CIQGPO.Count","CIQGPO.Cumulative","CIQGPO.Skip.to.Item"
"1","Yes",0,0,NA
"2","No",4,4,NA
"7","Refused",0,4,NA
"9","Don't know",0,4,NA
".","Missing",846,850,NA
