"DBQ235C.Code.or.Value","DBQ235C.Value.Description","DBQ235C.Count","DBQ235C.Cumulative","DBQ235C.Skip.to.Item"
"0","Never",184,184,NA
"1","Rarely-less than once a week",744,928,NA
"2","Sometimes-once a week or more, but less than once a day",1548,2476,NA
"3","Often-once a day or more",1532,4008,NA
"4","Varied",47,4055,NA
"7","Refused",0,4055,NA
"9","Don't know",13,4068,NA
".","Missing",5186,9254,NA
