"HSQ470.Code.or.Value","HSQ470.Value.Description","HSQ470.Count","HSQ470.Cumulative","HSQ470.Skip.to.Item"
"0 to 30","Range of Values",5881,5881,NA
"77","Refused",0,5881,NA
"99","Don't know",11,5892,NA
".","Missing",3064,8956,NA
