"SSII4FOM.Code.or.Value","SSII4FOM.Value.Description","SSII4FOM.Count","SSII4FOM.Cumulative","SSII4FOM.Skip.to.Item"
"0 to 3.5","Range of Values",1030,1030,NA
".","Missing",6,1036,NA
