"VIQ017.Code.or.Value","VIQ017.Value.Description","VIQ017.Count","VIQ017.Cumulative","VIQ017.Skip.to.Item"
"1","Yes",8,8,"VIQ071"
"2","No",0,8,""
"7","Refused",0,8,""
"9","Don't know",1,9,""
".","Missing",7164,7173,""
