"LBXLUT.Code.or.Value","LBXLUT.Value.Description","LBXLUT.Count","LBXLUT.Cumulative","LBXLUT.Skip.to.Item"
"0.38 to 88.18","Range of Values",7264,7264,NA
"0.14","Fill Value of Limit of Detection",4,7268,NA
".","Missing",714,7982,NA
