"CSQ160.Code.or.Value","CSQ160.Value.Description","CSQ160.Count","CSQ160.Cumulative","CSQ160.Skip.to.Item"
"1","Yes",145,145,""
"2","No",1540,1685,"CSQ180"
"7","Refused",0,1685,"CSQ180"
"9","Don't know",1,1686,"CSQ180"
".","Missing",2129,3815,""
