"URX2MH.Code.or.Value","URX2MH.Value.Description","URX2MH.Count","URX2MH.Cumulative","URX2MH.Skip.to.Item"
"3.54 to 7380","Range of Values",2655,2655,NA
".","Missing",324,2979,NA
