"TYXP237.Code.or.Value","TYXP237.Value.Description","TYXP237.Count","TYXP237.Cumulative","TYXP237.Skip.to.Item"
"-296 to 134","Range of Values",103,103,NA
".","Missing",5482,5585,NA
