"AUDTYR20.Code.or.Value","AUDTYR20.Value.Description","AUDTYR20.Count","AUDTYR20.Cumulative","AUDTYR20.Skip.to.Item"
"0 to 1.63","Range of Values",3840,3840,NA
".","Missing",660,4500,NA
