"LBXIE5.Code.or.Value","LBXIE5.Value.Description","LBXIE5.Count","LBXIE5.Cumulative","LBXIE5.Skip.to.Item"
"0.25 to 558","Range of Values",8327,8327,NA
".","Missing",1113,9440,NA
