"WTSPH45.Code.or.Value","WTSPH45.Value.Description","WTSPH45.Count","WTSPH45.Cumulative","WTSPH45.Skip.to.Item"
"0 to 717399.16182","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
